Index ID,Unique ID,Entity ID,Entity Filter,Entity Name,Entity Friendly Name,Entity Domain,Entity Group,Entity Location,Entity Topic
1,anode__roof__temperature__conditions__roof,roof_temperature,Detail,Roof Temperature,Roof,Temperature,Conditions,Roof,haas/sensor/config/sensor/anode/anode__roof__temperature__conditions__roof/config
2,anode__ada__temperature__conditions__ada,ada_temperature,Detail,Ada Temperature,Ada,Temperature,Conditions,Ada,haas/sensor/config/sensor/anode/anode__ada__temperature__conditions__ada/config
3,anode__basement__temperature__conditions__basement,basement_temperature,Detail,Basement Temperature,Basement,Temperature,Conditions,Basement,haas/sensor/config/sensor/anode/anode__basement__temperature__conditions__basement/config
4,anode__dining__temperature__conditions__dining,dining_temperature,Detail,Dining Temperature,Dining,Temperature,Conditions,Dining,haas/sensor/config/sensor/anode/anode__dining__temperature__conditions__dining/config
5,anode__edwin__temperature__conditions__edwin,edwin_temperature,Detail,Edwin Temperature,Edwin,Temperature,Conditions,Edwin,haas/sensor/config/sensor/anode/anode__edwin__temperature__conditions__edwin/config
6,anode__kitchen__temperature__conditions__kitchen,kitchen_temperature,Detail,Kitchen Temperature,Kitchen,Temperature,Conditions,Kitchen,haas/sensor/config/sensor/anode/anode__kitchen__temperature__conditions__kitchen/config
7,anode__laundry__temperature__conditions__laundry,laundry_temperature,Detail,Laundry Temperature,Laundry,Temperature,Conditions,Laundry,haas/sensor/config/sensor/anode/anode__laundry__temperature__conditions__laundry/config
8,anode__lounge__temperature__conditions__lounge,lounge_temperature,Detail,Lounge Temperature,Lounge,Temperature,Conditions,Lounge,haas/sensor/config/sensor/anode/anode__lounge__temperature__conditions__lounge/config
9,anode__office__temperature__conditions__office,office_temperature,Detail,Office Temperature,Office,Temperature,Conditions,Office,haas/sensor/config/sensor/anode/anode__office__temperature__conditions__office/config
10,anode__pantry__temperature__conditions__pantry,pantry_temperature,Detail,Pantry Temperature,Pantry,Temperature,Conditions,Pantry,haas/sensor/config/sensor/anode/anode__pantry__temperature__conditions__pantry/config
11,anode__parents__temperature__conditions__parents,parents_temperature,Detail,Parents Temperature,Parents,Temperature,Conditions,Parents,haas/sensor/config/sensor/anode/anode__parents__temperature__conditions__parents/config
12,anode__rack__temperature__conditions__rack,rack_temperature,Detail,Rack Temperature,Rack,Temperature,Conditions,Rack,haas/sensor/config/sensor/anode/anode__rack__temperature__conditions__rack/config
14,anode__dining__carbon_Ddioxide__conditions__dining,dining_carbon_dioxide,Detail,Dining Carbon Dioxide,Dining,Carbon Dioxide,Conditions,Dining,haas/sensor/config/sensor/anode/anode__dining__carbon_Ddioxide__conditions__dining/config
15,anode__edwin__carbon_Ddioxide__conditions__edwin,edwin_carbon_dioxide,Detail,Edwin Carbon Dioxide,Edwin,Carbon Dioxide,Conditions,Edwin,haas/sensor/config/sensor/anode/anode__edwin__carbon_Ddioxide__conditions__edwin/config
